video_id	status	detail
jtjIwlw2BBs	repaired	string/control-character cleanup
52GOqddWIj8	repaired	string/control-character cleanup
FaqitQt5cGc	repaired	salvaged 19 complete segment objects
HmMIJ9r2mwk	repaired	string/control-character cleanup
2VOyMSQ_Wgo	repaired	salvaged 36 complete segment objects
nheS-kNXJLg	repaired	string/control-character cleanup
sGLjEz_Koag	repaired	string/control-character cleanup
KTHudZWO2Ac	repaired	string/control-character cleanup
Zq9aZj8OV-I	repaired	string/control-character cleanup
Wzil0t4mVgo	repaired	string/control-character cleanup
TG64XRHZE5o	repaired	string/control-character cleanup
TD3LivaIqMA	repaired	string/control-character cleanup
2AgVcz8ve94	repaired	salvaged 16 complete segment objects
txeoyamWwKs	repaired	string/control-character cleanup
7H5hZviN3FA	repaired	string/control-character cleanup
DYD9PHXvCXA	repaired	string/control-character cleanup
Nms25Z1eY5w	repaired	string/control-character cleanup
oef0Qd292OM	repaired	salvaged 16 complete segment objects
aQJ9iad0NM0	repaired	salvaged 19 complete segment objects
KHe8E-ZPO-4	repaired	string/control-character cleanup
YgfS_Iid9sM	repaired	string/control-character cleanup
ey9oyqy2WvM	repaired	string/control-character cleanup
3Eq6dt2L5mk	repaired	string/control-character cleanup
oFoQ8ZSav-I	repaired	string/control-character cleanup
Mjw2NevLBRo	repaired	string/control-character cleanup
6wlP6Mb2Dvw	repaired	string/control-character cleanup
0mTYD25_VLw	repaired	salvaged 21 complete segment objects
R7S-sbd5kgU	repaired	string/control-character cleanup
GNc7gacoWzY	repaired	string/control-character cleanup
LSkMjHU7DWM	repaired	string/control-character cleanup
vmSxJKkqMyA	repaired	string/control-character cleanup
1n9TqhZg8Eg	repaired	string/control-character cleanup
GccuoDdnBGw	repaired	string/control-character cleanup
8E1xQmrJR0M	repaired	string/control-character cleanup
218L9cFM5Wk	repaired	salvaged 28 complete segment objects
INEV6vpZpUE	repaired	salvaged 16 complete segment objects
7FF1llHdrg0	repaired	string/control-character cleanup
AQoBPphvqz8	repaired	string/control-character cleanup
FXBujCZFnQY	repaired	salvaged 15 complete segment objects
ewOaJaDBsak	repaired	string/control-character cleanup
1CmMmO_jJKk	repaired	string/control-character cleanup
N8YK8REL7t0	repaired	string/control-character cleanup
iO4r2Cq9GZc	repaired	string/control-character cleanup
5MRimntipuw	repaired	string/control-character cleanup
c_E1Fg1TnOs	repaired	string/control-character cleanup
zibveUdVoPA	repaired	string/control-character cleanup
Mx_j6WbDJ7c	repaired	string/control-character cleanup
9k_j_1KSDYg	repaired	string/control-character cleanup
bpXAJdRP-d4	repaired	string/control-character cleanup
lOpYB1KdQoA	repaired	string/control-character cleanup
PRnUMevkufE	repaired	string/control-character cleanup
O8KJyOI4umg	repaired	string/control-character cleanup
mW4OIc2U99k	repaired	salvaged 16 complete segment objects
E-nMXXw1BF8	repaired	string/control-character cleanup
-B1w4yJPzH8	repaired	string/control-character cleanup
2u7wj9NXkbk	repaired	string/control-character cleanup
pd1f-WBVQec	repaired	string/control-character cleanup
p-A-VckP77c	repaired	string/control-character cleanup
yMdIaIRgz-g	repaired	string/control-character cleanup
4gqMho82fRQ	repaired	string/control-character cleanup
5Z27WXUxcCY	repaired	string/control-character cleanup
D1giBxi2ovc	repaired	salvaged 16 complete segment objects
9jDvyYC8mUQ	repaired	string/control-character cleanup
eLzKxHkkKGU	repaired	salvaged 17 complete segment objects
0WMPy9sWEMs	repaired	string/control-character cleanup
yE33ZXCYHYw	repaired	string/control-character cleanup
JM8-wrLDjXw	repaired	string/control-character cleanup
37c7ip5pmuw	repaired	salvaged 18 complete segment objects
S9Nfm8KMcZc	repaired	string/control-character cleanup
9qz9Xp1h9WA	repaired	salvaged 17 complete segment objects
opBl_lcYU5Y	repaired	salvaged 17 complete segment objects
P5-M-m4B1PY	repaired	string/control-character cleanup
fBkvM-PyWrU	repaired	string/control-character cleanup
Aq8FbtXc0p0	repaired	string/control-character cleanup
H9JkWxXdI3w	repaired	string/control-character cleanup
AN0Io1sU7_g	failed	empty response
nSDpYTKS9bc	repaired	string/control-character cleanup
9Mb2l1YFPX0	repaired	string/control-character cleanup
to0qk6Fj8A8	repaired	string/control-character cleanup
2rt55RBlTDk	repaired	string/control-character cleanup
HdPMySPtJv4	repaired	string/control-character cleanup
2tyr7PYsMp8	repaired	string/control-character cleanup
-Zp1jWkwYFo	repaired	string/control-character cleanup
7V6VaGltgPY	repaired	string/control-character cleanup
0ZKatj4q1Bg	repaired	string/control-character cleanup
9m8J1hcpex4	repaired	string/control-character cleanup
9kiQ1f9Y8LA	repaired	string/control-character cleanup
7M-mLHpRhfk	repaired	string/control-character cleanup
AQyKZSLr9Os	repaired	string/control-character cleanup
tF-58Tj0uME	repaired	string/control-character cleanup
f_wiIfJJMok	repaired	string/control-character cleanup
ijAqLg80xz4	repaired	string/control-character cleanup
CcyCWSidAqo	repaired	string/control-character cleanup
1f5z4GPrd6k	repaired	string/control-character cleanup
TJTn0IJoxRE	repaired	string/control-character cleanup
Cipl8AGhUlM	repaired	salvaged 14 complete segment objects
xuVstCHcGJE	repaired	string/control-character cleanup
wS1puVFh_mQ	repaired	string/control-character cleanup
RD9Gq3ImnME	repaired	salvaged 17 complete segment objects
oSdXn7olIeY	repaired	string/control-character cleanup
xy0njl-QK-A	repaired	string/control-character cleanup
4QbIuTyYwCc	repaired	string/control-character cleanup
qAgYUIXrGTc	repaired	salvaged 22 complete segment objects
bCyuPt_3TLU	repaired	salvaged 17 complete segment objects
Mw4Wpx13HUw	repaired	string/control-character cleanup
nHOaDWNg_Is	repaired	string/control-character cleanup
irID2uAh7lY	repaired	salvaged 20 complete segment objects
1ZErQDx4KV0	repaired	string/control-character cleanup
mP4llS4aXh4	repaired	string/control-character cleanup
zVRzPvgNIYg	repaired	string/control-character cleanup
wpbpRRajObg	repaired	string/control-character cleanup
4UHWxKTctS4	repaired	string/control-character cleanup
YcYC73kJBdc	repaired	string/control-character cleanup
zPPH4x2SRRU	repaired	string/control-character cleanup
mKL3399ATIc	repaired	string/control-character cleanup
DFwpRm7S9ks	repaired	string/control-character cleanup
XLaAtB67aPQ	repaired	salvaged 8 complete segment objects
rdRF7G7EG7g	repaired	string/control-character cleanup
SgNHnFQL5cs	repaired	salvaged 19 complete segment objects
2Nc1yR31YuI	repaired	string/control-character cleanup
3_Vjx52LTZo	repaired	string/control-character cleanup
sRz4osFTV98	repaired	string/control-character cleanup
34UwCtltuAQ	repaired	string/control-character cleanup
8k5rtFdLJno	repaired	string/control-character cleanup
mSk1fo0bmmE	repaired	string/control-character cleanup
QY5am9TXLew	repaired	string/control-character cleanup
rcgQZA5aLT0	repaired	string/control-character cleanup
oem-P51ETjo	repaired	salvaged 14 complete segment objects
xYuEHCq--FA	repaired	string/control-character cleanup
T1mwHzczMM8	repaired	salvaged 22 complete segment objects
QTy8CMriXqU	repaired	string/control-character cleanup
GFHkEL1Sipk	repaired	string/control-character cleanup
UR5C2fA6teI	repaired	string/control-character cleanup
MVo8wPtN4eA	repaired	salvaged 15 complete segment objects
hrQx-SpeVPU	repaired	string/control-character cleanup
Nf67atcHW8M	repaired	string/control-character cleanup
QXKCjGn45o4	repaired	string/control-character cleanup
txX01AjDsTQ	repaired	string/control-character cleanup
oGSs1r_6m6E	repaired	string/control-character cleanup
BvZpRjl_uWs	repaired	string/control-character cleanup
Qgz1f2m93Io	repaired	string/control-character cleanup
ARRiIBi5l7I	repaired	string/control-character cleanup
eUMUuoU-WE4	repaired	string/control-character cleanup
i5ImCRHRxU8	repaired	string/control-character cleanup
xZDAEDOXf9A	repaired	string/control-character cleanup
-PoWxCQ6itk	repaired	string/control-character cleanup
DfjDADmpF_I	repaired	salvaged 11 complete segment objects
eCCn4trqYFc	repaired	salvaged 21 complete segment objects
dpwrS_9yWJo	repaired	salvaged 18 complete segment objects
3GWRLrkxmYM	repaired	string/control-character cleanup
DHqk0rATFL4	repaired	string/control-character cleanup
rCW0YGss-eo	repaired	string/control-character cleanup
47lhlQ1UMMs	repaired	string/control-character cleanup
xQNqH9zvCXQ	repaired	salvaged 19 complete segment objects
B5ZGqlvV19Y	repaired	string/control-character cleanup
2I5lPlBUOIU	repaired	string/control-character cleanup
4pPYmm9wJI0	repaired	string/control-character cleanup
53Ag6IKI5UQ	repaired	string/control-character cleanup
zjqGbzcs3gg	repaired	string/control-character cleanup
9k4VXR5266c	repaired	salvaged 19 complete segment objects
z5V3r_rZIAQ	repaired	string/control-character cleanup
fiMd-5_Ob90	repaired	string/control-character cleanup
zJBroLaZLu8	repaired	salvaged 14 complete segment objects
Sm4p6C6LUig	repaired	salvaged 26 complete segment objects
1sZaBCmjaYQ	repaired	string/control-character cleanup
goTACIX3zuw	repaired	string/control-character cleanup
m4tGbKgmLvw	repaired	string/control-character cleanup
tVHd_GmNbh8	repaired	string/control-character cleanup
0IWUHOTTNC0	repaired	string/control-character cleanup
wp2jExojDDU	repaired	string/control-character cleanup
DQYfjvpJSj4	repaired	string/control-character cleanup
Fu7eHNYYyHE	repaired	string/control-character cleanup
xAGKTxpgXiE	repaired	string/control-character cleanup
sA7dgJjc4rk	repaired	string/control-character cleanup
ZyiAShpZT7k	repaired	string/control-character cleanup
EmlcTpLJkh8	repaired	string/control-character cleanup
-GhND-zjUwg	repaired	string/control-character cleanup
-Wb_rWgHqww	repaired	string/control-character cleanup
ZQJ8JEmcW0Q	repaired	string/control-character cleanup
1N7L9-U3Fl0	repaired	salvaged 20 complete segment objects
m6qtPxtFAh0	repaired	string/control-character cleanup
-AolZeLrTXQ	repaired	string/control-character cleanup
YpQtfOobF9I	repaired	string/control-character cleanup
b4SP84ASur8	repaired	string/control-character cleanup
DL2jxxsV-FA	repaired	string/control-character cleanup
79mblDROb6U	repaired	string/control-character cleanup
X1y5oEBIu9k	repaired	string/control-character cleanup
GfUDt1aqSDA	repaired	string/control-character cleanup
NJ8dSEFQ9SI	repaired	string/control-character cleanup
P4vGNGx0lFk	repaired	string/control-character cleanup
4Vb0SrJwC3k	repaired	string/control-character cleanup
2dxdhsZPvsg	repaired	string/control-character cleanup
N4em7bSs-OE	repaired	string/control-character cleanup
SqSgsKehYQI	repaired	salvaged 18 complete segment objects
BnXZAWkijXQ	repaired	string/control-character cleanup
8PrjspdH0Sw	repaired	string/control-character cleanup
EKiUi9ClDW0	repaired	string/control-character cleanup
bvk1HhxuiCg	repaired	salvaged 33 complete segment objects
RBJEQq12_F8	repaired	string/control-character cleanup
3yE6RJ4IflI	repaired	string/control-character cleanup
e7m8EolgG4k	repaired	string/control-character cleanup
JGJcFBuz4gk	repaired	string/control-character cleanup
N7Sp-7Etfco	repaired	salvaged 19 complete segment objects
6az3lopn0ho	repaired	string/control-character cleanup
SXs1lpG0rUo	repaired	string/control-character cleanup
XI-G8rTjfrk	repaired	salvaged 13 complete segment objects
7buqG0G64tI	repaired	string/control-character cleanup
a1cWlX8SDPI	repaired	string/control-character cleanup
-Bclb_Qg6zk	repaired	string/control-character cleanup
x9oIHHhOdJs	repaired	string/control-character cleanup
nIJj9zl5HIE	repaired	string/control-character cleanup
0BaJirgBr3Y	repaired	string/control-character cleanup
